"","Year","Rainfall","Site","Birds"
"1",1956,15.16,"Stilt.Oahu",163
"2",1958,16.26,"Stilt.Oahu",549
"3",1959,21.25,"Stilt.Oahu",533
"5",1961,19.93,"Stilt.Oahu",134
"6",1962,12.63,"Stilt.Oahu",175
"7",1963,20.09,"Stilt.Oahu",356
"8",1964,10.02,"Stilt.Oahu",485
"9",1966,12.49,"Stilt.Oahu",242
"10",1967,32.7,"Stilt.Oahu",209
"11",1968,18.4,"Stilt.Oahu",175
"12",1969,25.21,"Stilt.Oahu",162
"13",1970,18.61,"Stilt.Oahu",322
"14",1971,20.13,"Stilt.Oahu",362
"15",1973,10.27,"Stilt.Oahu",509
"16",1974,18.68,"Stilt.Oahu",107
"17",1975,13.74,"Stilt.Oahu",110
"18",1976,12.83,"Stilt.Oahu",249
"19",1977,11.5,"Stilt.Oahu",738
"20",1978,19.15,"Stilt.Oahu",396
"21",1979,26.82,"Stilt.Oahu",211
"22",1980,27.87,"Stilt.Oahu",384
"23",1981,12.85,"Stilt.Oahu",418
"24",1982,34.04,"Stilt.Oahu",357
"25",1983,13.05,"Stilt.Oahu",231
"26",1984,8.56,"Stilt.Oahu",621
"27",1985,20,"Stilt.Oahu",322
"28",1986,18.39,"Stilt.Oahu",484
"29",1987,24.31,"Stilt.Oahu",821
"30",1988,26.79,"Stilt.Oahu",478
"31",1989,40.63,"Stilt.Oahu",740
"32",1990,35.2,"Stilt.Oahu",515
"33",1991,16.09,"Stilt.Oahu",371
"34",1992,16.98,"Stilt.Oahu",562
"35",1993,12.69,"Stilt.Oahu",393
"37",1995,13.45,"Stilt.Oahu",598
"38",1996,31,"Stilt.Oahu",530
"39",1997,23.08,"Stilt.Oahu",558
"40",1998,6.76,"Stilt.Oahu",502
"41",1999,9.66,"Stilt.Oahu",442
"42",2000,9.72,"Stilt.Oahu",499
"43",2001,10.53,"Stilt.Oahu",620
"44",2002,15.07,"Stilt.Oahu",692
"45",2003,13.83,"Stilt.Oahu",240
"46",1956,15.16,"Stilt.Maui",169
"47",1958,16.26,"Stilt.Maui",159
"48",1959,21.25,"Stilt.Maui",211
"49",1960,10.94,"Stilt.Maui",232
"50",1961,19.93,"Stilt.Maui",155
"51",1962,12.63,"Stilt.Maui",282
"52",1963,20.09,"Stilt.Maui",170
"53",1964,10.02,"Stilt.Maui",164
"54",1966,12.49,"Stilt.Maui",253
"55",1967,32.7,"Stilt.Maui",188
"56",1968,18.4,"Stilt.Maui",226
"57",1969,25.21,"Stilt.Maui",171
"58",1970,18.61,"Stilt.Maui",207
"59",1971,20.13,"Stilt.Maui",189
"60",1973,10.27,"Stilt.Maui",352
"61",1974,18.68,"Stilt.Maui",245
"62",1975,13.74,"Stilt.Maui",340
"63",1976,12.83,"Stilt.Maui",335
"64",1977,11.5,"Stilt.Maui",302
"65",1978,19.15,"Stilt.Maui",159
"66",1979,26.82,"Stilt.Maui",154
"67",1980,27.87,"Stilt.Maui",238
"68",1981,12.85,"Stilt.Maui",410
"69",1982,34.04,"Stilt.Maui",210
"70",1983,13.05,"Stilt.Maui",296
"71",1984,8.56,"Stilt.Maui",339
"72",1985,20,"Stilt.Maui",435
"73",1986,18.39,"Stilt.Maui",298
"74",1987,24.31,"Stilt.Maui",243
"75",1988,26.79,"Stilt.Maui",296
"76",1989,40.63,"Stilt.Maui",215
"77",1990,35.2,"Stilt.Maui",172
"78",1991,16.09,"Stilt.Maui",197
"79",1992,16.98,"Stilt.Maui",366
"80",1993,12.69,"Stilt.Maui",284
"81",1994,13.93,"Stilt.Maui",212
"82",1995,13.45,"Stilt.Maui",191
"83",1996,31,"Stilt.Maui",297
"84",1997,23.08,"Stilt.Maui",262
"85",1998,6.76,"Stilt.Maui",424
"86",1999,9.66,"Stilt.Maui",364
"87",2000,9.72,"Stilt.Maui",526
"88",2001,10.53,"Stilt.Maui",337
"89",2002,15.07,"Stilt.Maui",297
"90",2003,13.83,"Stilt.Maui",258
"91",1956,15.16,"Coot.Oahu",528
"92",1958,16.26,"Coot.Oahu",449
"93",1959,21.25,"Coot.Oahu",822
"95",1961,19.93,"Coot.Oahu",717
"96",1962,12.63,"Coot.Oahu",12
"97",1963,20.09,"Coot.Oahu",169
"98",1964,10.02,"Coot.Oahu",98
"99",1966,12.49,"Coot.Oahu",77
"100",1967,32.7,"Coot.Oahu",106
"101",1968,18.4,"Coot.Oahu",64
"102",1969,25.21,"Coot.Oahu",15
"103",1970,18.61,"Coot.Oahu",130
"104",1971,20.13,"Coot.Oahu",84
"105",1973,10.27,"Coot.Oahu",122
"106",1974,18.68,"Coot.Oahu",41
"107",1975,13.74,"Coot.Oahu",83
"108",1976,12.83,"Coot.Oahu",148
"109",1977,11.5,"Coot.Oahu",148
"110",1978,19.15,"Coot.Oahu",126
"111",1979,26.82,"Coot.Oahu",105
"112",1980,27.87,"Coot.Oahu",261
"113",1981,12.85,"Coot.Oahu",234
"114",1982,34.04,"Coot.Oahu",396
"115",1983,13.05,"Coot.Oahu",960
"116",1984,8.56,"Coot.Oahu",1153
"117",1985,20,"Coot.Oahu",791
"118",1986,18.39,"Coot.Oahu",493
"119",1987,24.31,"Coot.Oahu",737
"120",1988,26.79,"Coot.Oahu",250
"121",1989,40.63,"Coot.Oahu",542
"122",1990,35.2,"Coot.Oahu",415
"123",1991,16.09,"Coot.Oahu",261
"124",1992,16.98,"Coot.Oahu",450
"125",1993,12.69,"Coot.Oahu",339
"127",1995,13.45,"Coot.Oahu",303
"128",1996,31,"Coot.Oahu",214
"129",1997,23.08,"Coot.Oahu",317
"130",1998,6.76,"Coot.Oahu",899
"131",1999,9.66,"Coot.Oahu",1004
"132",2000,9.72,"Coot.Oahu",634
"133",2001,10.53,"Coot.Oahu",668
"134",2002,15.07,"Coot.Oahu",589
"135",2003,13.83,"Coot.Oahu",885
"136",1956,15.16,"Coot.Maui",177
"137",1958,16.26,"Coot.Maui",256
"138",1959,21.25,"Coot.Maui",170
"139",1960,10.94,"Coot.Maui",188
"140",1961,19.93,"Coot.Maui",149
"141",1962,12.63,"Coot.Maui",205
"142",1963,20.09,"Coot.Maui",108
"143",1964,10.02,"Coot.Maui",79
"144",1966,12.49,"Coot.Maui",75
"145",1967,32.7,"Coot.Maui",80
"146",1968,18.4,"Coot.Maui",104
"147",1969,25.21,"Coot.Maui",122
"148",1970,18.61,"Coot.Maui",78
"149",1971,20.13,"Coot.Maui",76
"150",1973,10.27,"Coot.Maui",114
"151",1974,18.68,"Coot.Maui",63
"152",1975,13.74,"Coot.Maui",151
"153",1976,12.83,"Coot.Maui",177
"154",1977,11.5,"Coot.Maui",154
"155",1978,19.15,"Coot.Maui",41
"156",1979,26.82,"Coot.Maui",78
"157",1980,27.87,"Coot.Maui",83
"158",1981,12.85,"Coot.Maui",86
"159",1982,34.04,"Coot.Maui",31
"160",1983,13.05,"Coot.Maui",158
"161",1984,8.56,"Coot.Maui",111
"162",1985,20,"Coot.Maui",189
"163",1986,18.39,"Coot.Maui",115
"164",1987,24.31,"Coot.Maui",57
"165",1988,26.79,"Coot.Maui",57
"166",1989,40.63,"Coot.Maui",92
"167",1990,35.2,"Coot.Maui",41
"168",1991,16.09,"Coot.Maui",61
"169",1992,16.98,"Coot.Maui",175
"170",1993,12.69,"Coot.Maui",90
"171",1994,13.93,"Coot.Maui",68
"172",1995,13.45,"Coot.Maui",57
"173",1996,31,"Coot.Maui",87
"174",1997,23.08,"Coot.Maui",113
"175",1998,6.76,"Coot.Maui",396
"176",1999,9.66,"Coot.Maui",384
"177",2000,9.72,"Coot.Maui",422
"178",2001,10.53,"Coot.Maui",538
"179",2002,15.07,"Coot.Maui",234
"180",2003,13.83,"Coot.Maui",85
"181",1956,15.16,"Moorhen.Kauai",2
"182",1958,16.26,"Moorhen.Kauai",2
"183",1959,21.25,"Moorhen.Kauai",10
"184",1960,10.94,"Moorhen.Kauai",4
"185",1961,19.93,"Moorhen.Kauai",10
"186",1962,12.63,"Moorhen.Kauai",12
"187",1963,20.09,"Moorhen.Kauai",10
"188",1964,10.02,"Moorhen.Kauai",8
"189",1966,12.49,"Moorhen.Kauai",17
"190",1967,32.7,"Moorhen.Kauai",7
"191",1968,18.4,"Moorhen.Kauai",44
"192",1969,25.21,"Moorhen.Kauai",50
"193",1970,18.61,"Moorhen.Kauai",26
"194",1971,20.13,"Moorhen.Kauai",10
"195",1973,10.27,"Moorhen.Kauai",7
"196",1974,18.68,"Moorhen.Kauai",1
"197",1975,13.74,"Moorhen.Kauai",38
"198",1976,12.83,"Moorhen.Kauai",92
"199",1977,11.5,"Moorhen.Kauai",113
"200",1978,19.15,"Moorhen.Kauai",81
"201",1979,26.82,"Moorhen.Kauai",79
"202",1980,27.87,"Moorhen.Kauai",72
"203",1981,12.85,"Moorhen.Kauai",84
"204",1982,34.04,"Moorhen.Kauai",67
"205",1983,13.05,"Moorhen.Kauai",43
"206",1984,8.56,"Moorhen.Kauai",52
"207",1985,20,"Moorhen.Kauai",67
"208",1986,18.39,"Moorhen.Kauai",55
"209",1987,24.31,"Moorhen.Kauai",42
"210",1988,26.79,"Moorhen.Kauai",36
"211",1989,40.63,"Moorhen.Kauai",32
"212",1990,35.2,"Moorhen.Kauai",98
"213",1991,16.09,"Moorhen.Kauai",116
"214",1992,16.98,"Moorhen.Kauai",107
"215",1993,12.69,"Moorhen.Kauai",129
"216",1994,13.93,"Moorhen.Kauai",240
"217",1995,13.45,"Moorhen.Kauai",294
"218",1996,31,"Moorhen.Kauai",348
"219",1997,23.08,"Moorhen.Kauai",210
"220",1998,6.76,"Moorhen.Kauai",131
"221",1999,9.66,"Moorhen.Kauai",106
"222",2000,9.72,"Moorhen.Kauai",138
"223",2001,10.53,"Moorhen.Kauai",132
"224",2002,15.07,"Moorhen.Kauai",73
"225",2003,13.83,"Moorhen.Kauai",92
